,label,no_of_words,no_of_unknown_words,length_of_text,sum_of_special_char,sum_of_digits,longest_word,has_upper_case
0,ham,0.10526315789473684,0.2,0.12004405286343614,0.09375,0.0,0.2647058823529412,False
1,ham,0.031578947368421054,0.0,0.02973568281938326,0.0625,0.0,0.1764705882352941,False
2,spam,0.15789473684210525,0.13333333333333333,0.1685022026431718,0.041666666666666664,0.5319148936170213,0.5,True
3,ham,0.05789473684210526,0.0,0.05176211453744494,0.0625,0.0,0.20588235294117646,False
4,ham,0.07368421052631578,0.0,0.06497797356828194,0.010416666666666666,0.0,0.1764705882352941,False
5,spam,0.18421052631578946,0.13333333333333333,0.16079295154185025,0.05208333333333333,0.0851063829787234,0.20588235294117646,False
6,ham,0.08421052631578947,0.0,0.08259911894273128,0.020833333333333332,0.0,0.20588235294117646,False
7,ham,0.13157894736842105,0.2,0.17400881057268724,0.041666666666666664,0.02127659574468085,0.4411764705882353,False
8,spam,0.12631578947368421,0.06666666666666667,0.1718061674008811,0.0625,0.40425531914893614,0.3235294117647059,True
9,spam,0.14210526315789473,0.0,0.16740088105726875,0.020833333333333332,0.2765957446808511,0.3235294117647059,True
10,ham,0.13157894736842105,0.0,0.11784140969162997,0.03125,0.0,0.20588235294117646,False
11,spam,0.12105263157894737,0.13333333333333333,0.14757709251101322,0.0625,0.46808510638297873,0.20588235294117646,True
12,spam,0.14736842105263157,0.13333333333333333,0.1696035242290749,0.0625,0.425531914893617,0.4411764705882353,True
13,ham,0.19999999999999998,0.0,0.21365638766519826,0.03125,0.0,0.2647058823529412,False
14,ham,0.042105263157894736,0.0,0.03634361233480177,0.020833333333333332,0.0,0.1764705882352941,True
15,spam,0.12105263157894737,0.06666666666666667,0.1618942731277533,0.041666666666666664,0.0,0.5294117647058824,True
16,ham,0.031578947368421054,0.0,0.02643171806167401,0.041666666666666664,0.0,0.23529411764705882,False
17,ham,0.09473684210526316,0.0,0.08700440528634362,0.05208333333333333,0.02127659574468085,0.23529411764705882,False
18,ham,0.07894736842105263,0.2,0.061674008810572695,0.010416666666666666,0.0,0.14705882352941177,False
19,spam,0.12105263157894737,0.13333333333333333,0.1696035242290749,0.05208333333333333,0.48936170212765956,0.5,True
20,ham,0.042105263157894736,0.0,0.04295154185022027,0.010416666666666666,0.0,0.2647058823529412,False
21,ham,0.05789473684210526,0.0,0.05176211453744494,0.0,0.02127659574468085,0.1764705882352941,True
22,ham,0.05789473684210526,0.06666666666666667,0.056167400881057275,0.0625,0.0,0.14705882352941177,False
23,ham,0.09999999999999999,0.06666666666666667,0.09471365638766521,0.03125,0.02127659574468085,0.20588235294117646,False
24,ham,0.05789473684210526,0.0,0.060572687224669616,0.020833333333333332,0.0,0.29411764705882354,False
25,ham,0.15789473684210525,0.0,0.1563876651982379,0.05208333333333333,0.0,0.20588235294117646,False
26,ham,0.02631578947368421,0.0,0.030837004405286344,0.010416666666666666,0.0,0.29411764705882354,False
27,ham,0.15263157894736842,0.0,0.14537444933920707,0.05208333333333333,0.0,0.1764705882352941,False
28,ham,0.09999999999999999,0.0,0.08039647577092512,0.020833333333333332,0.0,0.20588235294117646,False
29,ham,0.06315789473684211,0.06666666666666667,0.06828193832599119,0.041666666666666664,0.0,0.23529411764705882,False
30,ham,0.15263157894736842,0.06666666666666667,0.14096916299559473,0.010416666666666666,0.0,0.2647058823529412,False
31,ham,0.21052631578947367,0.0,0.20594713656387667,0.0625,0.0425531914893617,0.29411764705882354,False
32,ham,0.031578947368421054,0.0,0.02973568281938326,0.010416666666666666,0.0,0.23529411764705882,False
33,ham,0.08947368421052632,0.0,0.09030837004405287,0.010416666666666666,0.0,0.2647058823529412,False
34,spam,0.15789473684210525,0.0,0.17290748898678415,0.010416666666666666,0.02127659574468085,0.3529411764705882,True
35,ham,0.14736842105263157,0.06666666666666667,0.13325991189427314,0.0625,0.0425531914893617,0.20588235294117646,False
36,ham,0.05789473684210526,0.0,0.04955947136563878,0.010416666666666666,0.0,0.23529411764705882,False
37,ham,0.042105263157894736,0.0,0.02863436123348018,0.0,0.0,0.1764705882352941,False
38,ham,0.021052631578947368,0.0,0.027533039647577095,0.0625,0.0,0.23529411764705882,False
39,ham,0.17368421052631577,0.06666666666666667,0.1685022026431718,0.041666666666666664,0.0,0.23529411764705882,False
40,ham,0.08947368421052632,0.06666666666666667,0.0881057268722467,0.03125,0.0,0.20588235294117646,False
41,ham,0.14736842105263157,0.0,0.15418502202643172,0.15625,0.0,0.20588235294117646,False
42,spam,0.14210526315789473,0.0,0.18722466960352424,0.041666666666666664,0.46808510638297873,0.3235294117647059,True
43,ham,0.021052631578947368,0.0,0.018722466960352423,0.010416666666666666,0.0,0.1764705882352941,True
44,ham,0.07368421052631578,0.0,0.07709251101321588,0.08333333333333333,0.0,0.20588235294117646,False
45,ham,0.02631578947368421,0.0,0.03303964757709252,0.041666666666666664,0.0,0.23529411764705882,False
46,ham,0.04736842105263158,0.06666666666666667,0.047356828193832606,0.010416666666666666,0.0,0.3529411764705882,False
